,Job Title,Company Name,Company ID,Employment Type,Schedule,Salary From,Salary To,Salary Currency,Professional Roles,Required Experience,Region,Full Address,Address Latitude,Address Longitude,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
0,Администратор,Muse School,11550570,Полная занятость,Полный день,200000.0,500000.0,KZT,Администратор,Нет опыта,Астана,"Астана, улица Митченко, 46",51.137115,71.422937,https://hh.ru/applicant/vacancy_response?vacancyId=109482963,https://hh.ru/vacancy/109482963,2024-10-28T18:03:45+0300,False,Мы всему научим - от вас нужно только желание развиваться!,"...тренинги по продажам. Консультировать по видам абонементов. Поддерживать позитивную, веселую атмосферу в школе. Составлять расписание уроков для учеников и <highlighttext>преподавателей</highlighttext>."
1,Преподаватель,TUMAR,10384075,Частичная занятость,Гибкий график,200000.0,400000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Шымкент,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109449983,https://hh.ru/vacancy/109449983,2024-10-28T11:40:06+0300,False,Обязателен опыт работы <highlighttext>учителем</highlighttext> в школе. - Высшее педагогическое образование по соответствующей специальности. - Отличное знание своего предмета и навыки его преподавания. - ,
2,Водитель,KIMEP,45978,Полная занятость,Полный день,,,,Водитель,От 1 года до 3 лет,Алматы,"Алматы, проспект Абая, 2",43.2427097504389,76.95658379762098,https://hh.ru/applicant/vacancy_response?vacancyId=109548637,https://hh.ru/vacancy/109548637,2024-10-29T12:54:04+0300,False,Минимальные навыки: Опыт работы в вождении транспортными средствами не менее 5 лет; хорошее знание правил дорожного движения и штрафных санкций...,Университет КИМЭП в поисках соискателей на следующую вакантную позицию: Должность: Водитель. Департамент: Административно-технический. Отдел: Транспортный отдел / ХОЗУ. 
3,Учитель английского языка,CAREER AND EDUCATION CENTER,5921295,Полная занятость,Гибкий график,190000.0,250000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Астана,"Нур-Султан (Астана), улица Кордай, 81",51.12865162541864,71.50621229009026,https://hh.ru/applicant/vacancy_response?vacancyId=109452299,https://hh.ru/vacancy/109452299,2024-10-28T11:55:32+0300,False,диплом по профилю с 21-го года. - уровень английского от Intermediate. - знание ПК. - ответственное отношение к работе. - ведение курсов английского...,контроль усвоения материала программы каждого ребенка. - проведение занятий в игровой форме. - интересная подача учебного материала.
4,Инструктор в области промышленной безопасности,Batys Consulting,3222437,Полная занятость,Полный день,300000.0,600000.0,KZT,"Инженер по охране труда и технике безопасности, инженер-эколог",От 1 года до 3 лет,Аксай (Казахстан),"Аксай, 4-й микрорайон, 14",51.16425278420338,53.026681550926,https://hh.ru/applicant/vacancy_response?vacancyId=109540217,https://hh.ru/vacancy/109540217,2024-10-29T11:08:45+0300,False,"Исполнительность, целеустремленность, настойчивость, стремление к новым азам в работе, грамотно поставленная речь, высокие навыки коммуникации с людьми. Качественное выполнение поставленных...",Проведение курсов в области промышленной безопасности и охраны труда. Вводный инструктаж по охране и технике безопасности. Вводный инструктаж о мерах...
5,Учитель английского языка,Частная школа имени Шокана Уалиханова,4468139,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109551244,https://hh.ru/vacancy/109551244,2024-10-29T13:22:14+0300,False,"Высшее педагогическое образование и опыт работы <highlighttext>учителем</highlighttext> от 2 лет. Умение работать с детьми, хорошие коммуникативные навыки, креативность и инициативность.","Применяет теоретические основы преподавания предмета в соответствии с целью и задачами, ожидаемыми результатами урока. Использует наиболее эффективные формы, методы и..."
6,Куратор в образовательный центр,Hard skills foundation,5823653,Полная занятость,Полный день,150000.0,,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,"Алматы, улица Маркова, 61/1",43.22622,76.93491,https://hh.ru/applicant/vacancy_response?vacancyId=109429858,https://hh.ru/vacancy/109429858,2024-10-28T09:17:39+0300,False,Знание и свободное владение русским и казахским языками (ОБЯЗАТЕЛЬНО!).,Общение и поддержание дружеских отношений со студентами. Введение отчетов в Google таблицы. Налаживание связи между студентами и <highlighttext>преподавателями</highlighttext>.
7,Няня в семью,Корпорация управления бизнесом (КУБ),4201893,Полная занятость,Сменный график,250000.0,,KZT,"Воспитатель, няня",Нет опыта,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108779806,https://hh.ru/vacancy/108779806,2024-10-17T10:09:14+0300,False,"Опыт работы воспитателем в детских садах, няней в семьях, <highlighttext>учителем</highlighttext> начальных классов, аниматором. - Можно рассмотреть в т.ч. ","Осуществление полного ухода за ребенком. - Совместное времяпровождение – игры, развивашки, прогулки. - Сопровождение ребенка (ТРЦ, занятия и т.д.). - Поручения по хозяйству."
8,Учитель английского языка,Подготовительные курсы,11534013,Полная занятость,Полный день,300000.0,500000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Шымкент,"Шымкент, улица Байтурсынова, 88",42.34371,69.604424,https://hh.ru/applicant/vacancy_response?vacancyId=109152009,https://hh.ru/vacancy/109152009,2024-10-23T15:58:35+0300,False,Обучение английского языка разным возрастным группам от уровня Elementary до Upper Intermediate/Advanced. -уровень владения английским языком не ниже С...,"Презентация занятий, проведение презентационных уроков."
9,Учитель английского языка,Курынбаева Г.О.,9183680,Полная занятость,Полный день,300000.0,400000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Шымкент,"Шымкент, проспект Тауке хана, 2А",42.319861,69.58873,https://hh.ru/applicant/vacancy_response?vacancyId=109463443,https://hh.ru/vacancy/109463443,2024-10-28T13:30:31+0300,False,Наличие диплома. Знание уровня до Advanced. Опыт преподавания от 1 года.,Преподавание английского языка разным возрастным группам от уровня BEGINNER до UPPER Intermediate/ Advanced. Преподавание английского языка взрослым с уровнями от...
10,Ассистент в начальную школу со знанием английского языка,Smart Imperium,1767775,Полная занятость,Полный день,200000.0,,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,"Алматы, 6-й переулок, 24",43.19706,76.932341,https://hh.ru/applicant/vacancy_response?vacancyId=109463923,https://hh.ru/vacancy/109463923,2024-10-28T13:35:22+0300,False,Уровень английского Upper-Intermediate и выше. Педагогическое образование. Любовь к детям. Порядочность. Доброжелательность.,
