,Job Title,Company Name,Salary From,Salary To,Region,Full Address,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
0,Sales & Business Development (Kazakhstan),"Glosok Technology (Ningbo) Co., Ltd.",,,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=108541849,https://hh.ru/vacancy/108541849,2024-10-12T06:34:07+0300,False,In short:,"Main Product: Customers that deal with Heating Parts, Water Treatment Parts, Home Appliance Parts (e.g. Washing <highlighttext>Machine</highlighttext> Parts), Air..."
1,Data Scientist,Nazarbayev University,,,Астана,,https://hh.ru/applicant/vacancy_response?vacancyId=108846116,https://hh.ru/vacancy/108846116,2024-10-18T13:05:47+0300,False,...of <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext> and deep <highlighttext>learning</highlighttext> models. - knowledge of Linux operating system software and related equipment. - knowledge of <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext>. - ,...training and analysis of deep <highlighttext>learning</highlighttext> models. 11) tuning existing <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext> and deep <highlighttext>learning</highlighttext> models when needed. 
2,Warehouse Supervisor (Заведующий складом),Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» ),,,Шымкент,"Шымкент, Абайский район",https://hh.ru/applicant/vacancy_response?vacancyId=108967765,https://hh.ru/vacancy/108967765,2024-10-21T13:56:46+0300,False,University/special secondary degree. At least 3 years in warehouse management area; experience on managerial positions is preferable. ,"...firefighting inventory, as well as for condition of the entrusted <highlighttext>machines</highlighttext>. Hold responsibility for observance of HSE requirements by the..."
3,ML-инженер (ML Engineer / Data Scientist),"GuardinAI, Inc",,,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=108218587,https://hh.ru/vacancy/108218587,2024-10-06T16:25:06+0300,False,"...<highlighttext>learning</highlighttext> frameworks, and experience with deep neural networks for complex problem-solving. You have experience with cloud-based <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext>...",...of <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext> projects from research and development to production deployment. Lead the end-to-end execution of <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext>...
4,Офис-менеджер / Начинающий специалист,Crowe Outsourcing KZ (Кроу Аутсорсинг КЗ),,,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=108961995,https://hh.ru/vacancy/108961995,2024-10-21T12:48:43+0300,False,"Высшее образование. Стрессоустойчивость, доброжелательность, коммуникабельность, оперативность выполнения задач, высокий уровень честности и надежности, ориентация на сервис.","Прием и переадресация телефонных звонков. Принятие, отправка и распространение входящих и исходящих сообщений, почты (документов, писем, журналов). Выполнение машинописных и..."
5,Software engineer,Nazarbayev University,,,Астана,,https://hh.ru/applicant/vacancy_response?vacancyId=108582530,https://hh.ru/vacancy/108582530,2024-10-14T08:02:39+0300,False,"Experience with containerization technologies (Docker, Kubernetes).  Familiarity with <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext> frameworks (PyTorch) and their. Deployment in production.  Database management experience...","Design, develop, and maintain scalable back-end services and APIs to serve. <highlighttext>Machine</highlighttext> <highlighttext>learning</highlighttext> models. - Integrate <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext> models into..."
6,BI аналитик,ЧК BI Development Ltd.,,,Астана,,https://hh.ru/applicant/vacancy_response?vacancyId=108322505,https://hh.ru/vacancy/108322505,2024-10-08T10:03:56+0300,False,"Power BI: Power Query, DAX, навыки визуализации данных, формирование моделей данных. <highlighttext>Machine</highlighttext> <highlighttext>learning</highlighttext>: статистика, знание мат. моделей.","Анализ бизнес-требований и формулирование соответствующих запросов к данным. Разработка и реализация отчетов, дашбордов и аналитических моделей для поддержки принятия..."
7,MLOps Backend-разработчик,Kolesa (АО Колеса),700000.0,1300000.0,Алматы,"Алматы, улица Шевченко, 157Б",https://hh.ru/applicant/vacancy_response?vacancyId=108943266,https://hh.ru/vacancy/108943266,2024-10-21T10:18:49+0300,False,Опыт работы с S3. Опыт работы с PyTorch. Опыт работы с CUDA. Понимание основ Data Science/<highlighttext>Machine</highlighttext> <highlighttext>Learning</highlighttext>.,Написание и поддержка сервисов и утилит для ML команды. Автоматизация генерации сервисов и деплоя для ML моделей. Разработка и поддержание...
8,Middle ML Engineer (NLP),Documentolog,,,Астана,"Нур-Султан (Астана), проспект Мангилик Ел, 52А",https://hh.ru/applicant/vacancy_response?vacancyId=108927477,https://hh.ru/vacancy/108927477,2024-10-27T08:57:10+0300,False,"Опыт работы с LLM: prompt engineering, in context <highlighttext>learning</highlighttext>, fine-tuning, evaluation и т.д.. - Понимание принципов работы классических ML...",Создание сервисов на базе генеративных AI и классических ML/DL моделей. - Разработка и поддержка API для сервинга/деплоя моделей. - 
9,Аналитик данных,Kaspi.kz,,,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=108612169,https://hh.ru/vacancy/108612169,2024-10-14T12:57:52+0300,False,"Опыт работы от 1 года. Образование высшее, желательно математическое/ ИТ / экономика / статистика. Аналитический склад ума, критическое мышление (навыки формулирования гипотез...",Погрузиться в экосистему Kaspi Pay. Проверять продуктовые гипотезы и готовить аналитику для поддержки принятия бизнес решений. Искать точки роста продуктов...
