,Job Title,Company Name,Salary From,Salary To,Region,Full Address,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
0,Преподаватель,TUMAR,200000.0,400000.0,Шымкент,,https://hh.ru/applicant/vacancy_response?vacancyId=109449983,https://hh.ru/vacancy/109449983,2024-10-28T11:40:06+0300,False,Обязателен опыт работы <highlighttext>учителем</highlighttext> в школе. - Высшее педагогическое образование по соответствующей специальности. - Отличное знание своего предмета и навыки его преподавания. - ,
1,Администратор,Muse School,200000.0,500000.0,Астана,"Астана, улица Митченко, 46",https://hh.ru/applicant/vacancy_response?vacancyId=109482963,https://hh.ru/vacancy/109482963,2024-10-28T18:03:45+0300,False,Мы всему научим - от вас нужно только желание развиваться!,"...тренинги по продажам. Консультировать по видам абонементов. Поддерживать позитивную, веселую атмосферу в школе. Составлять расписание уроков для учеников и <highlighttext>преподавателей</highlighttext>."
2,Учитель английского языка,CAREER AND EDUCATION CENTER,190000.0,250000.0,Астана,"Нур-Султан (Астана), улица Кордай, 81",https://hh.ru/applicant/vacancy_response?vacancyId=109452299,https://hh.ru/vacancy/109452299,2024-10-28T11:55:32+0300,False,диплом по профилю с 21-го года. - уровень английского от Intermediate. - знание ПК. - ответственное отношение к работе. - ведение курсов английского...,контроль усвоения материала программы каждого ребенка. - проведение занятий в игровой форме. - интересная подача учебного материала.
3,Куратор в образовательный центр,Hard skills foundation,150000.0,,Алматы,"Алматы, улица Маркова, 61/1",https://hh.ru/applicant/vacancy_response?vacancyId=109429858,https://hh.ru/vacancy/109429858,2024-10-28T09:17:39+0300,False,Знание и свободное владение русским и казахским языками (ОБЯЗАТЕЛЬНО!).,Общение и поддержание дружеских отношений со студентами. Введение отчетов в Google таблицы. Налаживание связи между студентами и <highlighttext>преподавателями</highlighttext>.
4,Няня в семью,Корпорация управления бизнесом (КУБ),250000.0,,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=108779806,https://hh.ru/vacancy/108779806,2024-10-17T10:09:14+0300,False,"Опыт работы воспитателем в детских садах, няней в семьях, <highlighttext>учителем</highlighttext> начальных классов, аниматором. - Можно рассмотреть в т.ч. ","Осуществление полного ухода за ребенком. - Совместное времяпровождение – игры, развивашки, прогулки. - Сопровождение ребенка (ТРЦ, занятия и т.д.). - Поручения по хозяйству."
5,Учитель английского языка,Подготовительные курсы,300000.0,500000.0,Шымкент,"Шымкент, улица Байтурсынова, 88",https://hh.ru/applicant/vacancy_response?vacancyId=109152009,https://hh.ru/vacancy/109152009,2024-10-23T15:58:35+0300,False,Обучение английского языка разным возрастным группам от уровня Elementary до Upper Intermediate/Advanced. -уровень владения английским языком не ниже С...,"Презентация занятий, проведение презентационных уроков."
6,Администратор учебного центра,Perfect Study (Сандыбаева К. Ж.),100000.0,170000.0,Караганда,,https://hh.ru/applicant/vacancy_response?vacancyId=108817439,https://hh.ru/vacancy/108817439,2024-10-17T20:44:17+0300,False,"Высокие коммуникативные навыки, грамотная письменная и устная речь. Организованность, пунктуальность, ответственность, умение работать с людьми, вежливость. Владение MS Office, Excel...","Консультация клиентов и запись на пробные уроки. Выполнять административные поручения руководства. Ведение расписания <highlighttext>учителей</highlighttext>. Быть лицом школы, активно участвовать в..."
7,Психолог,Лабеан компани,400000.0,600000.0,Алматы,село Каргалы,https://hh.ru/applicant/vacancy_response?vacancyId=108834749,https://hh.ru/vacancy/108834749,2024-10-18T10:48:10+0300,False,"Диплом о высшем образовании по специальности: "" <highlighttext>Педагог</highlighttext>- психолог"", "" Практический психолог"". Наличие опыта работы по специальности. Знание психологических методов (тестов) диагностики. ","Психологическая диагностика, проведение развивающих мероприятий, тренингов, лекционных занятий, социологических опросов."
8,Педагог по подготовке к школе (казахская группа),SANA,230000.0,250000.0,Астана,"Нур-Султан (Астана), улица Алихана Бокейханова, 29Б",https://hh.ru/applicant/vacancy_response?vacancyId=109420509,https://hh.ru/vacancy/109420509,2024-10-28T06:55:40+0300,False,Пунктуальность и ответственность. Грамотность и знание языка в совершенстве. Знание английского ( 1-2 уровень ).,Подготовить детей к школе. Составить месячный план. Найти контакт с детьми и родителями. Полное инфо на собеседовании.
9,Преподаватель английского языка,Есеркенова А.С,240000.0,480000.0,Астана,,https://hh.ru/applicant/vacancy_response?vacancyId=109062509,https://hh.ru/vacancy/109062509,2024-10-22T13:52:44+0300,False,Опыт работы <highlighttext>преподавателем</highlighttext> английского языка не менее года. Наличие сертификата IELTS/TOEFL/Duolingo. Стабильное подключение к высокоскростному интернету.,"Составлять аутентичные онлайн занятия по заданным направлениям (General English, Business English, IELTS preparation). Вести интерактивные занятия с упором на разговорную..."
